Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
East Toronto,43.659029919499254,-79.34900993060765,Carbon Computing,4ad79890f964a520900c21e3,127,43.65945700245283,-79.34753810168428,Electronics Store,11,8.1,3,0,6
East Toronto,43.659029919499254,-79.34900993060765,Dark Horse Espresso Bar,553ab5bc498e111b32cd18f5,275,43.65849807585409,-79.35235639621162,Coffee Shop,48,8.7,32,1,8
East Toronto,43.659029919499254,-79.34900993060765,Hi-Lo,5261df96498e25eda5a4432e,82,43.659254003003966,-79.34803521371407,Dive Bar,51,8.0,34,1,15
East Toronto,43.659029919499254,-79.34900993060765,Tertulia,5baf8e509de23b002c5cc3ec,38,43.658744,-79.349276,Café,7,8.0,0,0,2
East Toronto,43.659029919499254,-79.34900993060765,The Opera House,4ad4c062f964a520d0f720e3,25,43.65890447141719,-79.34874429043094,Rock Club,128,7.8,276,1,40
East Toronto,43.659029919499254,-79.34900993060765,Bonjour Brioche,4ad79959f964a520990c21e3,234,43.659734402868,-79.34626614342186,Bakery,129,7.8,170,1,89
East Toronto,43.659029919499254,-79.34900993060765,Merchants of Green Coffee,502652fee4b0e6861eab1f29,410,43.659915999999996,-79.35396300000001,Coffee Shop,82,9.1,42,1,20
East Toronto,43.659029919499254,-79.34900993060765,St John's Bakery,4bb77483b35776b0b394c701,187,43.660335303157645,-79.35047712257966,Bakery,8,7.5,7,0,2
East Toronto,43.659029919499254,-79.34900993060765,Prohibition Gastrohouse,4ae0ab5ff964a520758121e3,108,43.658813485161765,-79.35032270812796,Gastropub,146,7.4,214,1,78
East Toronto,43.659029919499254,-79.34900993060765,Mean Bao,55f07a51498ef8afddf53c9c,83,43.659232,-79.348011,Chinese Restaurant,34,7.4,18,1,11
East Toronto,43.659029919499254,-79.34900993060765,The Cannonball,4ad883f6f964a520f01121e3,284,43.65829890360229,-79.35239704706818,Coffee Shop,22,7.6,29,0,25
East Toronto,43.659029919499254,-79.34900993060765,Sushi Bar,4adc95f3f964a520912d21e3,90,43.65879825022111,-79.35008516753265,Sushi Restaurant,13,7.2,22,0,21
West Toronto,43.6647117748975,-79.34634588922047,Batifole,4b05d9a3f964a5205ce422e3,228,43.66665129353464,-79.34726110140059,French Restaurant,17,8.8,15,0,15
West Toronto,43.6647117748975,-79.34634588922047,Bach Yen,4c0536289a7920a1714ad279,230,43.66660030737588,-79.3475186610204,Vietnamese Restaurant,20,8.3,12,0,10
West Toronto,43.6647117748975,-79.34634588922047,Hailed Coffee,56d331c5498e8113529782ed,254,43.6669,-79.34543199999999,Coffee Shop,53,8.4,81,1,45
