Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Gina Vito and Sons,4f324ad519836c91c7c955ba,64,40.058739,-75.052757,Food
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Di Bruno's Pizza,59cd5957f79faa2d5e7fe8ac,84,40.059865,-75.052328,Pizza Place
Upper North Philadelphia,40.05911000000003,-75.05217999999996,MB Financial Bank,4b8ee13bf964a520633c33e3,164,40.057837252210355,-75.05315481500674,Bank
Upper North Philadelphia,40.05911000000003,-75.05217999999996,New Supreme Pizza,4f32515619836c91c7cbe165,41,40.058804,-75.052464,Pizza Place
Upper North Philadelphia,40.05911000000003,-75.05217999999996,AMDS Pure Care,5daee5a4d5dbb70008702069,78,40.058596,-75.052808,Home Service
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Stanwood Pharmacy,4d8ceeafcb9b224b26c36041,209,40.060955,-75.05167,Pharmacy
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Body Relax,5b9ea113db2aeb002c2d4f84,211,40.057249,-75.052676,Massage Studio
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,The River Wards Cafe,56eeca80498eaa1cd86d85e7,340,39.98204937250129,-75.10330563496208,Coffee Shop
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Byrne's Tavern,40b28c80f964a5201ffa1ee3,365,39.98415493056724,-75.09899656525549,Wings Joint
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Donna's Bar,40b28c80f964a52027fa1ee3,337,39.983270000000005,-75.102074,Bar
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Primo Hoagies,4bd1dc36046076b04ea87271,487,39.98288108468295,-75.10469555854797,Sandwich Place
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Krakus Polish Market,4b9fec94f964a520c54a37e3,313,39.982645831707536,-75.10247792053856,Grocery Store
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Wawa,4bcc9587511f95210a40b3c7,320,39.98365,-75.100714,Convenience Store
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,APlus At Sunoco,4c35b928a0ced13a2a2c1a6e,291,39.98324752707042,-75.10110510037609,Coffee Shop
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Interstate 95 at Exit 25,4eecbc016da1536879ca8e20,171,39.982161758675396,-75.10075002908707,Intersection
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Appliance & TV Discounters,5a900fb23abcaf4300419559,243,39.982507,-75.10154200000001,Construction & Landscaping
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Marx Medical Equipment,5b06474fc62b49002c3a9ea3,243,39.982507,-75.10154200000001,Medical Supply Store
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,The Stadium.,4da1eb5f7aee54815031cbfe,247,39.98287572086412,-75.1009363892031,Baseball Field
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Monkiewicz Park - Power 99 Parks & Rec,4daf44d6b3dc78adc07cf094,253,39.9829102119325,-75.10100481754625,Park
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Westway Terminals,4ee382db0e011d52453cfba9,260,39.97884089172315,-75.09814790911962,Harbor / Marina
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Syrenka Luncheonette,4b9fed58f964a520044b37e3,263,39.982628999999996,-75.101703,Polish Restaurant
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Unidentified Mural,4ec8c774775bf65c05033b62,277,39.9829718,-75.1014027,Art Gallery
